neighborhood,group,order,lat,lng
Roslindale_0,0,0,-71.12592717485386,42.272013107957406
Roslindale_0,0,1,-71.12610933458738,42.2716219294518
Roslindale_0,0,2,-71.12603188298199,42.27158985153841
Roslindale_0,0,3,-71.12571713956957,42.27152070474045
Roslindale_0,0,4,-71.12559042372907,42.27146017841939
Roslindale_0,0,5,-71.12523676125656,42.271387313901805
Roslindale_0,0,6,-71.12522437821433,42.271425073651166
Roslindale_0,0,7,-71.12489533053173,42.27134458090032
Roslindale_0,0,8,-71.12482468090687,42.271318140479686
Roslindale_0,0,9,-71.12485155056099,42.27124753819149
Roslindale_0,0,10,-71.12476329046935,42.270292339717635
Roslindale_0,0,11,-71.12470249712558,42.270295367758344
Roslindale_0,0,12,-71.12259088359436,42.2700534081311
Roslindale_0,0,13,-71.1223931813923,42.27003085475475
Roslindale_0,0,14,-71.12252039300371,42.269427196690025
Roslindale_0,0,15,-71.12214745279846,42.26937277217365
Roslindale_0,0,16,-71.12192848881409,42.27038614438027
Roslindale_0,0,17,-71.1221406576364,42.27041692631439
Roslindale_0,0,18,-71.1220178727131,42.27096341291406
Roslindale_0,0,19,-71.12201165286537,42.271016446462525
Roslindale_0,0,20,-71.12190239148987,42.27099668884986
Roslindale_0,0,21,-71.12184778412909,42.271128915878194
Roslindale_0,0,22,-71.12185167622407,42.27118257601222
Roslindale_0,0,23,-71.12168157813673,42.271071208186555
Roslindale_0,0,24,-71.12139377480113,42.27088277232848
Roslindale_0,0,25,-71.12132094376452,42.27080789969368
Roslindale_0,0,26,-71.12097139565644,42.27054030247285
Roslindale_0,0,27,-71.12065689083249,42.27035191435237
Roslindale_0,0,28,-71.12060078998192,42.27034354436572
Roslindale_0,0,29,-71.12048399408144,42.270704992535215
Roslindale_0,0,30,-71.12037477655642,42.27099729074563
Roslindale_0,0,31,-71.12031647259292,42.27116205173202
Roslindale_0,0,32,-71.12027902365317,42.2714333029865
Roslindale_0,0,33,-71.12015740628365,42.2725982173891
Roslindale_0,0,34,-71.11984232664318,42.27257057000272
